Area Code (FAO),Year,population,yield,harvested,Value
2,1961,8790.14,10220,2230000.0,2279000.0
2,1962,8969.047,9735,2341000.0,2279000.0
2,1963,9157.465,8317,2341000.0,1947000.0
2,1964,9355.514,9510,2345000.0,2230000.0
2,1965,9565.147,9723,2347000.0,2282000.0
2,1966,9783.147,8666,2346000.0,2033000.0
2,1967,10010.03,11232,2030000.0,2280000.0
2,1968,10247.78,11562,2036000.0,2354000.0
2,1969,10494.489,11855,2070000.0,2454000.0
2,1970,10752.971,9563,2176000.0,2081000.0
2,1971,11015.857,8149,2350000.0,1915000.0
2,1972,11286.753,8457,2897100.0,2450000.0
2,1973,11575.305,11739,2300000.0,2700000.0
2,1974,11869.879,12074,2277600.0,2750000.0
2,1975,12157.386,12128,2350000.0,2850000.0
2,1976,12425.267,12494,2350000.0,2936000.0
2,1977,12687.301,11309,2345000.0,2652000.0
2,1978,12938.862,11980,2348000.0,2813000.0
2,1979,12986.369,12317,2162000.0,2663000.0
2,1980,12486.631,12549,2032000.0,2550000.0
2,1981,11155.195,12350,2000000.0,2470000.0
2,1982,10088.289,12299,1944000.0,2391000.0
2,1983,9951.449,12580,1833000.0,2306000.0
2,1984,10243.686,12319,1781000.0,2194000.0
2,1985,10512.221,12277,1695000.0,2081000.0
2,1986,10448.442,11890,1619000.0,1925000.0
2,1987,10322.758,12849,1790000.0,2300000.0
2,1988,10383.46,11728,1620000.0,1900000.0
2,1989,10673.168,11180,1610000.0,1800000.0
2,1990,10694.796,10510,1570000.0,1650000.0
2,1991,10745.167,10213,1690000.0,1726000.0
2,1992,12057.433,10313,1600000.0,1650000.0
2,1993,14003.76,10211,1900000.0,1940000.0
2,1994,15455.555,10250,2000000.0,2050000.0
2,1995,16418.912,10895,1927468.0,2100000.0
2,1996,17106.595,11220,2050000.0,2300000.0
2,1997,17788.819,12764,2124000.0,2711000.0
2,1998,18493.132,12964,2186000.0,2834000.0
2,1999,19262.847,12329,2027000.0,2499000.0
2,2000,19542.982,7240,2029000.0,1469000.0
2,2001,19688.632,8977,1779000.0,1597000.0
2,2002,21000.256,15419,1742000.0,2686000.0
2,2003,22645.13,15000,2320000.0,3480000.0
2,2004,23553.551,12659,1888000.0,2390000.0
2,2005,24411.191,18215,2342000.0,4266000.0
2,2006,25442.944,13760,2444000.0,3363000.0
2,2007,25903.301,18183,2466000.0,4484000.0
2,2008,26427.199,12263,2139000.0,2623000.0
2,2009,27385.307,19666,2575000.0,5064000.0
2,2010,28189.672,19252,2354000.0,4532000.0
2,2011,29249.157,15179,2232000.0,3388000.0
2,2012,30466.479,20104,2512000.0,5050000.0
2,2013,31541.209,20248,2552922.0,5169235.0
2,2014,32716.21,20237,2653746.0,5370259.0
2,2015,33753.499,21959,2128104.0,4673040.0
2,2016,34636.207,19803,2300210.0,4555110.0
2,2017,35643.418,20342,2104377.0,4280776.0
2,2018,36686.784,22100,1635000.0,3613300.0
2,2019,37769.499,20951,2334000.0,4890000.0
2,2020,38972.23,19434,2668000.0,5185000.0
3,1961,1769.079,7731,126500.0,97800.0
3,1962,1828.232,10522,139144.0,146407.0
3,1963,1888.302,7127,86660.0,61763.0
3,1964,1949.013,9625,129048.0,124208.0
3,1965,2009.789,11344,105542.0,119728.0
3,1966,2070.689,12398,117833.0,146084.0
3,1967,2132.443,13550,120486.0,163261.0
3,1968,2195.466,14124,143854.0,203184.0
3,1969,2259.799,16389,146547.0,240177.0
3,1970,2324.731,15377,147353.0,226582.0
3,1971,2389.812,18735,138477.0,259431.0
3,1972,2455.171,19000,150000.0,285000.0
3,1973,2520.436,20097,165700.0,333000.0
3,1974,2585.452,20625,160000.0,330000.0
3,1975,2650.122,19375,160000.0,310000.0
3,1976,2713.56,25526,190000.0,485000.0
3,1977,2774.795,24500,200000.0,490000.0
3,1978,2833.314,24500,200000.0,490000.0
3,1979,2888.763,24900,197000.0,490530.0
3,1980,2941.651,25198,196800.0,495900.0
3,1981,2992.389,25321,193000.0,488700.0
3,1982,3041.179,26886,194900.0,524000.0
3,1983,3087.911,30879,188800.0,583000.0
3,1984,3131.726,31579,190000.0,600000.0
3,1985,3171.725,31406,192000.0,603000.0
3,1986,3207.128,28945,199000.0,576000.0
3,1987,3237.676,31031,191100.0,593000.0
3,1988,3263.019,32010,199000.0,637000.0
3,1989,3282.182,29302,209200.0,613000.0
3,1990,3295.066,30197,203000.0,613000.0
3,1991,3302.081,20698,143658.0,297340.0
3,1992,3303.739,24388,103273.0,251862.0
3,1993,3300.711,29976,154959.0,464498.0
3,1994,3293.999,24745,169728.0,420000.0
3,1995,3284.364,28703,141219.0,405342.0
3,1996,3271.331,21741,124721.0,271150.0
3,1997,3253.719,28516,136200.0,388391.0
3,1998,3232.175,28037,140910.0,395067.0
3,1999,3208.26,24954,109000.0,272000.0
3,2000,3182.021,30455,112000.0,341100.0
3,2001,3153.612,28220,100000.0,282200.0
3,2002,3123.551,31617,93400.0,295300.0
3,2003,3092.991,28629,90782.0,259900.0
3,2004,3062.622,31130,81400.0,253400.0
3,2005,3032.634,31582,82325.0,260000.0
3,2006,3003.387,30787,75000.0,230900.0
3,2007,2976.084,35496,70290.0,249500.0
3,2008,2951.689,40168,83400.0,335000.0
3,2009,2930.541,40229,82800.0,333100.0
3,2010,2913.399,39905,73900.0,294900.0
3,2011,2900.654,42301,69219.0,292800.0
3,2012,2892.193,41096,73000.0,300000.0
3,2013,2887.014,41292,71200.0,294000.0
3,2014,2884.102,40001,69998.0,280000.0
3,2015,2882.481,39511,69600.0,275000.0
3,2016,2881.063,39000,70512.0,275000.0
3,2017,2879.355,40367,68095.0,274877.0
3,2018,2877.013,36927,65072.0,240294.0
3,2019,2873.883,40680,57330.0,233218.0
3,2020,2866.849,43271,53946.0,233430.0
4,1961,11598.608,4060,1689064.0,685723.0
4,1962,11778.26,8045,1873300.0,1507000.0
4,1963,11969.451,8326,1909203.0,1589664.0
4,1964,12179.099,5317,2186360.0,1162456.0
4,1965,12381.256,6057,2187990.0,1325240.0
4,1966,12613.389,4252,1481870.0,630051.0
4,1967,12897.115,6333,1998430.0,1265506.0
4,1968,13190.975,6899,2223200.0,1533794.0
4,1969,13491.016,6034,2197700.0,1326190.0
4,1970,13795.915,6245,2296960.0,1434548.0
4,1971,14110.271,6133,2148070.0,1317392.0
4,1972,14439.748,6701,2471160.0,1655854.0
4,1973,14786.469,4934,2346900.0,1158077.0
4,1974,15153.602,4957,2200950.0,1091111.0
4,1975,15724.692,8313,2222780.0,1847793.0
4,1976,16500.516,7101,2295100.0,1629687.0
4,1977,17134.192,4337,1907170.0,827123.0
4,1978,17632.645,5809,1864300.0,1083019.0
4,1979,18166.981,5553,1945510.0,1080435.0
4,1980,18739.378,7297,2071250.0,1511426.0
4,1981,19351.357,6720,1813170.0,1218380.0
4,1982,20000.096,5965,1637900.0,977070.0
4,1983,20682.111,5635,1401500.0,789786.0
4,1984,21393.53,5730,1547000.0,886469.0
4,1985,22132.905,8861,1667990.0,1478018.0
4,1986,22882.553,8084,1520000.0,1228800.0
4,1987,23586.101,7777,1510600.0,1174800.0
4,1988,24243.018,6006,1023090.0,614420.0
4,1989,24889.507,7821,1473000.0,1152100.0
4,1990,25518.074,6315,1187820.0,750080.0
4,1991,26133.905,10809,1729440.0,1869400.0
4,1992,26748.303,9939,1848010.0,1836750.0
4,1993,27354.327,8097,1255420.0,1016500.0
4,1994,27937.006,7999,892600.0,713964.0
4,1995,28478.022,8924,1680720.0,1499920.0
4,1996,28984.634,13090,2278500.0,2982604.0
4,1997,29476.031,8016,825240.0,661514.0
4,1998,29924.668,8847,2577150.0,2280000.0
4,1999,30346.083,10711,1372400.0,1470000.0
4,2000,30774.621,9194,827000.0,760361.0
4,2001,31200.985,11104,1836410.0,2039213.0
4,2002,31624.696,10739,1398460.0,1501803.0
4,2003,32055.883,14480,2047570.0,2964852.0
4,2004,32510.186,13582,2010600.0,2730700.0
4,2005,32956.69,15057,1603744.0,2414728.0
4,2006,33435.08,15068,1783825.0,2687930.0
4,2007,33983.827,12742,1819877.0,2318963.0
4,2008,34569.592,11038,1006571.0,1111033.0
4,2009,35196.037,15975,1848575.0,2953117.0
4,2010,35856.344,14838,1755728.0,2605178.0
